PID,Layer,BeforeStim,AfterStim
0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISp1,0.12245712044775925,-0.061228560223879305
0a0184b3-9e1a-4c36-98f4-00ae3beb8f01,VISp2,0.1361009320193138,-0.06805046600965693
12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp1,-0.13680132396307004,0.06840066198153495
12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp2,-0.023890443536793933,0.011945221768397008
12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp4,-0.002230855877713483,0.0011154279388567335
12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp5,-0.1455063216000232,0.07275316080001157
12c0f3a9-518e-4dac-9651-5d95c2b4730f,VISp6,-0.2448164892818868,0.12240824464094337
176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp4,-0.19049597632240367,0.09524798816120182
176b4fe3-f570-4d9f-9e25-a5d218f75c8b,VISp5,-0.22396322891346607,0.111981614456733
18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp1,-0.06504045275421678,0.032520226377108385
18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp2,-0.0628743313529604,0.031437165676480125
18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp4,0.011982075575013856,-0.005991037787506926
18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp5,-0.10116395813657432,0.050581979068287056
18d316bf-d322-4c5c-814e-a58147f7bf5f,VISp6,-0.08508638846948775,0.04254319423474388
1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,VISp4,0.28766521146094415,-0.143832605730472
1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,VISp5,-0.05673307579596493,0.028366537897982467
1bd85dab-7a53-49d1-acd4-e82f9fd07cf6,VISp6,-0.38768220635690115,0.19384110317845057
1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp2,0.27212259351307894,-0.13606129675653947
1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp4,0.2215975489254436,-0.11079877446272178
1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp5,0.04929183708220493,-0.024645918541102475
1f555fc6-5067-428b-a284-da6fb0b6b3a0,VISp6,-0.001874519682361191,0.0009372598411805659
22609d51-0a6a-425d-a3ef-eeb43a9ba350,VISp6,-0.15378809828879775,0.07689404914439878
2400a2fa-0335-480b-ac8d-a478171f3a55,VISp4,-0.5008498761536898,0.2504249380768448
2400a2fa-0335-480b-ac8d-a478171f3a55,VISp5,-0.45983887150906916,0.22991943575453463
2400a2fa-0335-480b-ac8d-a478171f3a55,VISp6,-0.4164709253785386,0.20823546268926924
27bac116-ea57-4512-ad35-714a62d259cd,VISp5,-0.30819271188790964,0.15409635594395482
27bac116-ea57-4512-ad35-714a62d259cd,VISp6,-0.4375017724507343,0.21875088622536715
29418b18-4db6-436f-a85e-b0f1d38d2e62,VISp1,-0.16182716834108404,0.08091358417054198
29418b18-4db6-436f-a85e-b0f1d38d2e62,VISp2,0.12266511909282936,-0.06133255954641468
29418b18-4db6-436f-a85e-b0f1d38d2e62,VISp4,0.19926417204516206,-0.09963208602258103
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,VISp4,-0.4038714540410585,0.20193572702052923
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,VISp5,-0.4073355815319603,0.20366779076598013
3d3d5a5e-df26-43ee-80b6-2d72d85668a5,VISp6,-0.4177778876033748,0.20888894380168743
4b93a168-0f3b-4124-88fa-a57046ca70e1,VISp2,-0.03571680757200786,0.01785840378600382
4b93a168-0f3b-4124-88fa-a57046ca70e1,VISp4,0.0023305668502760996,-0.0011652834251379863
4b93a168-0f3b-4124-88fa-a57046ca70e1,VISp5,-0.046491170289967784,0.02324558514498383
4b93a168-0f3b-4124-88fa-a57046ca70e1,VISp6,-0.14407036442317028,0.07203518221158511
578ca001-8cf5-4d30-b58f-1d574eaf808a,VISp1,-0.2611587888758259,0.130579394437913
578ca001-8cf5-4d30-b58f-1d574eaf808a,VISp2,-0.2971296712801952,0.1485648356400975
578ca001-8cf5-4d30-b58f-1d574eaf808a,VISp4,-0.21536797489857942,0.10768398744928961
578ca001-8cf5-4d30-b58f-1d574eaf808a,VISp5,0.1573825026906764,-0.07869125134533815
7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,VISp5,-0.37254343010845753,0.1862717150542287
7cbecb3f-6a8a-48e5-a3be-8f7a762b5a04,VISp6,-0.3053529119601925,0.15267645598009616
85bdeae3-269b-4e39-bd9b-2b0d95aff2fa,VISp2,0.37243165697750236,-0.18621582848875115
88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,VISp1,-0.00412391767476161,0.0020619588373807693
88fe9ed9-9e3e-431a-8ecc-4cb2fe5bf448,VISp2,0.008005072071351331,-0.004002536035675584
92822789-608f-44a6-ad64-fe549402b2df,VISp1,-0.002601749753105051,0.0013008748765525094
92822789-608f-44a6-ad64-fe549402b2df,VISp2,-0.013368865071667919,0.006684432535833955
