eid,label_VISp,label_VISp,nb_channel_VISp,nb_channel_VISp,pid1,pid2
7dd27c2f-9544-448d-918d-be0f9837b0e0,['probe00'],['probe00'],[56],[56],['d3507787-60c8-4cea-a61e-0c708b4361d8'],['d3507787-60c8-4cea-a61e-0c708b4361d8']
83e77b4b-dfa0-4af9-968b-7ea0c7a0c7e4,['probe00'],['probe00'],[54],[54],['220bca21-4cf8-43f1-a213-71645899c571'],['220bca21-4cf8-43f1-a213-71645899c571']
85dc2ebd-8aaf-46b0-9284-a197aee8b16f,['probe00'],['probe00'],[54],[54],['df07180e-268e-489c-826e-40cb6f63d3a5'],['df07180e-268e-489c-826e-40cb6f63d3a5']
872ce8ff-9fb3-485c-be00-bc5479e0095b,['probe00'],['probe00'],[32],[32],['0a0184b3-9e1a-4c36-98f4-00ae3beb8f01'],['0a0184b3-9e1a-4c36-98f4-00ae3beb8f01']
89f0d6ff-69f4-45bc-b89e-72868abb042a,['probe00'],['probe00'],[82],[82],['341ef9bb-25f9-4eeb-8f1d-bdd054b22ba8'],['341ef9bb-25f9-4eeb-8f1d-bdd054b22ba8']
8a3a0197-b40a-449f-be55-c00b23253bbf,['probe00'],['probe00'],[38],[38],['f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1'],['f9d8aacd-b2a0-49f2-bd71-c2f5aadcfdd1']
90c61c38-b9fd-4cc3-9795-29160d2f8e55,['probe00'],['probe00'],[64],[64],['43436b4b-0431-407f-b83d-d657ec22b5c6'],['43436b4b-0431-407f-b83d-d657ec22b5c6']
90d1e82c-c96f-496c-ad4e-ee3f02067f25,['probe00'],['probe00'],[94],[94],['b40d8c65-7ee8-4069-8b64-1a3f7907742f'],['b40d8c65-7ee8-4069-8b64-1a3f7907742f']
91bac580-76ed-41ab-ac07-89051f8d7f6e,['probe00'],['probe00'],[70],[70],['6d9b6393-6729-4a15-ad08-c6838842a074'],['6d9b6393-6729-4a15-ad08-c6838842a074']
948fd27b-507b-41b3-bdf8-f9f5f0af8e0b,['probe00'],['probe00'],[30],[30],['b939cc85-6028-404a-995d-28c8405a07db'],['b939cc85-6028-404a-995d-28c8405a07db']
